,name,salary
155,小程序后台开发工程师,职位薪资:20000-40000
156,web前端,职位薪资:20000-30000
157,腾讯音乐IOS开发工程师,职位薪资:16000-30000
158,腾讯视频平台产品经理,职位薪资:15000-30000
159,车联网Android客户端平台研发高级工程师,职位薪资:16000-30000
160,微信iOS功能开发工程师,职位薪资:20000-40000
161,图像OCR算法工程师,职位薪资:30000-60000
162,TME-腾讯音乐Android开发（12.8-招聘专场）,职位薪资:20000-30000
163,算法应用工程师,职位薪资:35000-65000
164,微信读书移动客户端开发工程师,职位薪资:15000-30000
165,腾讯云大数据产品研发工程师,职位薪资:30000-60000
166,腾讯云后台开发高级工程师,职位薪资:15000-30000
167,高级后台开发工程师,职位薪资:20000-40000
168,腾讯音乐C++/GO后台开发工程师（深圳）,职位薪资:20000-30000
169,微信运营平台web前端工程师,职位薪资:25000-50000
170,直播内容运营,职位薪资:15000-30000
171,服务器开发工程师（深圳）,职位薪资:25000-50000
172,Android工程师,职位薪资:25000-50000
173,客厅新媒体运营经理（北京）,职位薪资:22000-44000
174,FPS手游服务器开发工程师专场岗位,职位薪资:25000-50000
175,TME-腾讯音乐Android开发（12.8-招聘专场）,职位薪资:20000-30000
176,运营商客户经理（华东）,职位薪资:30000-60000
177,高级后台研发工程师,职位薪资:20000-35000
178,自然语言处理工程师（北京）,职位薪资:20000-40000
179,Web前端开发工程师,职位薪资:15000-30000
