job_title,yearly_salary,place,seniority,degree
媒介经理,10k-15k,北京 朝阳区 定福庄,1年以内,本科
媒介经理,8k-16k,北京 朝阳区 北苑,1-3年,大专
媒介经理,4k-8k,深圳 福田区 益田村,1年以内,大专
媒介经理（偏新媒体）,9k-14k,北京 朝阳区 呼家楼,3-5年,本科
媒介经理,5k-7k,福州  ,1-3年,大专
媒介经理,4k-8k,南阳  ,1年以内,大专
媒介经理,6k-10k,长沙 长沙县 ,1-3年,本科
媒介经理,10k-20k,北京 朝阳区 亮马桥,1-3年,学历不限
媒介经理,6k-12k,郑州  ,1年以内,大专
媒介经理,6k-7k,北京 东城区 交道口,1年以内,本科
媒介经理,6k-8k,郑州 金水区 丰产路,1年以内,本科
媒介经理,4k-8k,武汉 洪山区 关山,1年以内,本科
媒介经理,5k-10k,漳州  ,1年以内,大专
媒介经理,8k-10k,上海 黄浦区 五里桥,3-5年,本科
媒介经理,8k-15k,北京 朝阳区 工体,3-5年,本科
媒介经理,4k-8k,合肥  ,1年以内,大专
媒介经理,8k-10k,宁波  ,3-5年,大专
媒介经理,3k-4k,六盘水  ,3-5年,大专
媒介经理,4k-6k,成都  ,1年以内,本科
媒介经理,3k-5k,呼和浩特  ,1年以内,大专
媒介经理,10k-11k,重庆 江北区 观音桥,1年以内,本科
媒介经理,10k-16k,北京 东城区 东四,1年以内,本科
媒介经理,6k-12k,北京 朝阳区 朝外,1年以内,本科
媒介经理,8k-16k,深圳 南山区 蛇口,3-5年,本科
媒介经理,15k-30k,杭州 西湖区 文二路,3-5年,本科
高级媒介经理,8k-9k,南京  ,1-3年,本科
媒介经理,4k-8k,西宁  ,1-3年,高中
媒介经理,5k-10k,海口  ,3-5年,大专
媒介经理,8k-9k,北京 海淀区 苏州桥,1年以内,本科
媒介经理,6k-10k,上海 静安区 汶水路,3-5年,大专
市场推广,10k-11k,济南 历下区 ,经验不限,本科
市场推广,4k-8k,石家庄  ,经验不限,大专
市场推广,5k-10k,佛山  ,1-3年,大专
VIPkid市场推广专员,8k-16k,南京  ,经验不限,大专
市场推广经理,4k-8k,呼和浩特  ,1年以内,大专
市场推广,7k-8k,阜新  ,1年以内,高中
海外市场推广,6k-11k,深圳 福田区 石厦,经验不限,本科
市场推广,4k-5k,长春  ,1年以内,高中
市场推广专员,5k-8k,阜新  ,1年以内,学历不限
市场推广,3k-6k,淮安  ,经验不限,学历不限
市场推广,3k-6k,南昌  ,经验不限,高中
市场推广,4k-5k,厦门 集美区 ,1年以内,高中
市场推广时间自由,8k-12k,温州  ,经验不限,学历不限
市场推广,4k-5k,淄博  ,1年以内,大专
市场推广/市场督导,8k-16k,广州 天河区 元岗,1年以内,大专
市场推广,3k-4k,台州  ,1-3年,大专
UC浏览器市场推广顾问,6k-12k,广州 天河区 水荫,经验不限,学历不限
市场推广,4k-8k,衢州  ,1年以内,大专
市场推广,8k-12k,武汉 江汉区 常青路,1年以内,高中
市场推广,5k-10k,淮南  ,经验不限,大专
商业地产市场推广经理,6k-12k,宁波  ,1-3年,大专
市场推广,4k-8k,重庆 渝中区 大坪,经验不限,大专
市场推广,6k-12k,石家庄  ,1-3年,高中
市场推广业务经理,10k-11k,芜湖  ,1-3年,本科
今日头条市场推广+五险一金,6k-12k,太原  ,经验不限,学历不限
市场推广,5k-10k,贵阳  ,经验不限,本科
市场推广,4k-8k,惠州  ,经验不限,学历不限
市场推广,3k-6k,徐州  ,1年以内,学历不限
市场营销/市场推广/销售代表,3k-6k,长沙  ,经验不限,大专
市场推广,5k-10k,上饶  ,1-3年,高中
产品经理,10k-20k,北京 丰台区 成寿寺,3-5年,本科
产品经理（互联网）,6k-10k,长春  ,3-5年,本科
电商产品经理,3k-5k,江门  ,经验不限,本科
电商产品经理,5k-6k,南宁  ,1-3年,大专
旅游产品经理,4k-8k,北京  ,1-3年,学历不限
旅游产品经理,8k-15k,深圳 龙岗区 布吉,3-5年,本科
产品经理,5k-8k,长沙 天心区 黄土岭,经验不限,学历不限
电商产品经理,4k-8k,成都 金牛区 沙湾,1年以内,大专
网站产品经理,4k-6k,济宁  ,1年以内,大专
移动产品经理,15k-30k,北京 朝阳区 高碑店,3-5年,本科
区块链产品经理,20k-30k,上海 闵行区 ,3-5年,本科
网页产品经理,3k-5k,广州  ,1-3年,本科
高级产品经理,15k-25k,北京 朝阳区 和平街,5-10年,本科
产品经理,4k-6k,郑州 金水区 东建材,1年以内,大专
产品经理,18k-25k,杭州 滨江区 浦沿,1年以内,本科
产品经理,5k-10k,上海 普陀区 长寿路,1年以内,本科
旅游产品经理,5k-8k,北京 朝阳区 朝阳门,1-3年,本科
旅游产品经理,4k-8k,长春  ,1年以内,大专
产品经理,13k-20k,重庆 渝中区 化龙桥,经验不限,本科
产品经理（高端游学产品）,5k-10k,厦门 海沧区 ,3-5年,大专
产品经理,8k-10k,厦门 集美区 ,3-5年,大专
产品经理,8k-12k,广州 天河区 前进,3-5年,大专
产品经理,5k-10k,重庆  ,3-5年,大专
产品经理,10k-15k,杭州 江干区 白杨,3-5年,大专
英语少儿研发产品经理,10k-20k,上海 普陀区 长寿路,1年以内,本科
电商产品经理,5k-10k,广州 越秀区 三元里,1年以内,本科
产品经理,10k-14k,广州 海珠区 南洲,3-5年,大专
产品经理（APP）,10k-20k,武汉 洪山区 东亭,1-3年,本科
互联网产品经理助理,5k-7k,广州 天河区 兴华,1年以内,本科
旅游产品经理,5k-6k,武汉  ,1-3年,大专
NodeJS高级开发工程师（偏后端）,10k-15k,北京 朝阳区 高碑店,3-5年,本科
PHP开发工程师,15k-25k,北京 朝阳区 呼家楼,5-10年,本科
产品经理,12k-24k,北京 朝阳区 四惠,3-5年,本科
JAVA开发工程师,10k-20k,北京 朝阳区 呼家楼,3-5年,本科
选材设计科科长,10k-15k,北京 朝阳区 ,3-5年,学历不限
活动事业部总监,25k-35k,北京 海淀区 西二旗,5-10年,本科
课程经理,10k-15k,北京 海淀区 北沙滩,3-5年,本科
产品经理,13k-20k,北京 西城区 西直门,1-3年,本科
前端开发工程师,10k-20k,北京 朝阳区 呼家楼,3-5年,本科
PHP工程师,10k-15k,北京 朝阳区 呼家楼,3-5年,本科
